theta_deg,slant_km,fspl_db,gt_dbi,perdida_atm_db,I_teorico_dbm,I_SHARC_P619_dbm,IN_db,INI_db,CI_db,CNI_db,cumple_IN
10.0,1719.01,156.109,30.0,0.1688,-90.109,-90.278,8.722,-0.547,15.978,15.431,NO
12.5,1563.849,155.287,29.062,0.1363,-90.225,-90.361,8.639,-0.557,16.061,15.504,NO
15.0,1429.62,154.508,28.125,0.1145,-90.383,-90.497,8.503,-0.574,16.197,15.624,NO
17.5,1313.568,153.773,27.188,0.0987,-90.585,-90.684,8.316,-0.597,16.384,15.787,NO
20.0,1213.129,153.082,26.25,0.0869,-90.832,-90.919,8.081,-0.628,16.619,15.991,NO
22.5,1126.014,152.434,25.312,0.0778,-91.122,-91.2,7.8,-0.667,16.9,16.233,NO
25.0,1050.236,151.829,24.375,0.0705,-91.454,-91.525,7.475,-0.715,17.225,16.51,NO
27.5,984.102,151.264,23.438,0.0646,-91.827,-91.891,7.109,-0.772,17.591,16.819,NO
30.0,926.182,150.738,22.5,0.0596,-92.238,-92.297,6.703,-0.841,17.997,17.156,NO
32.5,875.28,150.247,21.562,0.0555,-92.684,-92.74,6.26,-0.922,18.44,17.517,NO
35.0,830.396,149.789,20.625,0.052,-93.164,-93.216,5.784,-1.018,18.916,17.899,NO
37.5,790.698,149.364,19.688,0.049,-93.676,-93.725,5.275,-1.129,19.425,18.296,NO
40.0,755.489,148.968,18.75,0.0464,-94.218,-94.265,4.735,-1.258,19.965,18.706,NO
42.5,724.187,148.601,17.812,0.0442,-94.788,-94.832,4.168,-1.408,20.532,19.124,NO
45.0,696.305,148.26,16.875,0.0422,-95.385,-95.427,3.573,-1.581,21.127,19.546,NO
47.5,671.433,147.944,15.938,0.0405,-96.006,-96.047,2.953,-1.78,21.747,19.967,NO
50.0,649.223,147.651,15.0,0.039,-96.651,-96.69,2.31,-2.007,22.39,20.383,NO
52.5,629.385,147.382,14.062,0.0376,-97.319,-97.357,1.643,-2.266,23.057,20.791,NO
55.0,611.669,147.134,13.125,0.0365,-98.009,-98.045,0.955,-2.559,23.745,21.186,NO
57.5,595.865,146.907,12.188,0.0354,-98.719,-98.754,0.246,-2.889,24.454,21.565,NO
60.0,581.794,146.699,11.25,0.0345,-99.449,-99.483,-0.483,-3.259,25.183,21.925,NO
62.5,569.302,146.51,10.312,0.0337,-100.198,-100.232,-1.232,-3.67,25.932,22.262,NO
65.0,558.259,146.34,9.375,0.033,-100.965,-100.998,-1.998,-4.123,26.698,22.575,NO
67.5,548.553,146.188,8.438,0.0323,-101.75,-101.783,-2.783,-4.621,27.483,22.862,NO
70.0,540.092,146.053,7.5,0.0318,-102.553,-102.585,-3.585,-5.162,28.285,23.122,NO
72.5,532.794,145.935,6.562,0.0313,-103.372,-103.404,-4.404,-5.748,29.104,23.356,NO
75.0,526.593,145.833,5.625,0.0309,-104.208,-104.239,-5.239,-6.376,29.939,23.563,NO
77.5,521.434,145.748,4.688,0.0306,-105.06,-105.091,-6.091,-7.046,30.791,23.745,OK
80.0,517.272,145.678,3.75,0.0303,-105.928,-105.958,-6.958,-7.755,31.658,23.903,OK
82.5,514.071,145.624,2.812,0.0301,-106.812,-106.842,-7.842,-8.503,32.542,24.039,OK
85.0,511.803,145.586,1.875,0.03,-107.711,-107.741,-8.741,-9.285,33.441,24.155,OK
87.5,510.45,145.563,0.938,0.0299,-108.625,-108.655,-9.655,-10.101,34.355,24.254,OK
90.0,510.0,145.555,0.0,0.0299,-109.555,-109.585,-10.585,-10.949,35.285,24.336,OK
